,game_id,week,season,posteam,defteam,weekday,gametime,away_score,home_score,location,roof,surface,went_for_it,fourth_count,pass_epa,pass_count_x,run_epa,run_count_x,xpass,pass_oe,pass_count_y,run_success,run_count_y,pass_success,pass_count
55,2021_04_NYG_NO,4,2021,NO,NYG,Sunday,13:00,27.0,21.0,Home,closed,astroturf,1,5,8.648864084525908,26,-0.4562562534119929,39,38.18842050433159,-12.188420504331589,65,20.0,39,15.0,26
56,2021_04_TEN_NYJ,4,2021,NYJ,TEN,Sunday,13:00,24.0,27.0,Home,outdoors,fieldturf,0,8,9.09125620253352,35,-7.355571862148528,24,32.29624496400356,3.703755035996437,59,10.0,24,16.0,35
57,2021_04_KC_PHI,4,2021,PHI,KC,Sunday,13:00,42.0,30.0,Home,outdoors,grass,2,7,13.820485405213548,51,4.057571596855366,19,47.947089955210686,7.052910044789314,70,10.0,19,26.0,51
58,2021_04_ARI_LA,4,2021,LA,ARI,Sunday,16:05,37.0,20.0,Home,outdoors,grass,1,5,2.385245099936607,41,-1.7917652503820134,22,41.77470742166042,1.225292578339577,63,14.0,22,23.0,41
59,2021_04_SEA_SF,4,2021,SF,SEA,Sunday,16:05,28.0,21.0,Home,outdoors,grass,4,12,6.64066340731719,43,-0.6809867226546635,30,50.63719496130943,-2.637194961309433,73,15.0,30,21.0,43
60,2021_04_BAL_DEN,4,2021,DEN,BAL,Sunday,16:25,23.0,7.0,Home,outdoors,grass,0,11,-16.4271856136329,42,3.416112573235296,17,42.31334057450295,0.6866594254970555,59,8.0,17,13.0,42
61,2021_04_PIT_GB,4,2021,GB,PIT,Sunday,16:25,17.0,27.0,Home,outdoors,grass,1,8,3.578705210486456,39,-0.8360242836934049,31,38.06056458875537,1.9394354112446308,70,17.0,31,17.0,39
62,2021_04_TB_NE,4,2021,NE,TB,Sunday,20:20,19.0,17.0,Home,outdoors,grass,0,8,-1.017434610752335,46,-3.425334646482952,7,33.132368475198746,13.867631524801254,53,1.0,7,24.0,46
63,2021_04_LV_LAC,4,2021,LAC,LV,Monday,20:15,14.0,28.0,Home,outdoors,grass,3,9,2.2882145877811126,41,1.1399413579492828,32,42.01234908029437,-0.0123490802943703,73,17.0,32,16.0,41
64,2021_05_LA_SEA,5,2021,SEA,LA,Thursday,20:20,26.0,17.0,Home,outdoors,grass,1,6,2.206520497172141,35,-7.227231994271278,25,40.9873326420784,-2.9873326420784,60,9.0,25,16.0,35
65,2021_05_GB_CIN,5,2021,CIN,GB,Sunday,13:00,25.0,22.0,Home,outdoors,grass,2,11,2.400176004666835,42,-1.5945279351979935,24,41.36711633205414,0.6328836679458619,66,12.0,24,20.0,42
66,2021_05_NE_HOU,5,2021,HOU,NE,Sunday,13:00,25.0,22.0,Home,closed,grass,3,8,17.818804838580483,32,-7.058863230457064,24,33.8021352738142,-1.802135273814201,56,5.0,24,17.0,32
67,2021_05_DET_MIN,5,2021,MIN,DET,Sunday,13:00,17.0,19.0,Home,closed,sportturf,0,7,5.110678807325781,35,-9.007892303867266,28,37.02821355313063,-1.028213553130627,63,7.0,28,17.0,35
68,2021_05_DEN_PIT,5,2021,PIT,DEN,Sunday,13:00,19.0,27.0,Home,outdoors,grass,0,5,9.348527316800364,26,-1.0950400968768887,34,33.391670390963554,-7.391670390963554,60,14.0,34,14.0,26
69,2021_05_MIA_TB,5,2021,TB,MIA,Sunday,13:00,17.0,45.0,Home,outdoors,grass,0,2,32.27308803596121,45,2.820375616897283,22,35.48190488666296,10.51809511333704,67,10.0,22,31.0,45
70,2021_05_NO_WAS,5,2021,WAS,NO,Sunday,13:00,33.0,22.0,Home,outdoors,grass,3,10,-13.30926720322816,44,2.137330052471952,33,45.42706246674061,2.572937533259392,77,18.0,33,17.0,44
71,2021_05_CLE_LAC,5,2021,LAC,CLE,Sunday,16:05,42.0,47.0,Home,outdoors,grass,3,7,12.65072718133172,46,8.418980488189963,23,45.03913041949272,2.9608695805072784,69,11.0,23,20.0,46
72,2021_05_CHI_LV,5,2021,LV,CHI,Sunday,16:05,20.0,9.0,Home,closed,fieldturf,3,8,-9.29569615281544,39,-1.5874090862926094,22,40.141376569867134,-0.141376569867134,61,10.0,22,13.0,39
73,2021_05_BUF_KC,5,2021,KC,BUF,Sunday,20:20,38.0,20.0,Home,outdoors,astroturf,1,6,-9.87495678226908,56,-2.584235145099228,23,53.12321694195271,9.876783058047296,79,12.0,23,28.0,56
74,2021_05_IND_BAL,5,2021,BAL,IND,Monday,20:15,25.0,31.0,Home,outdoors,grass,0,5,32.47428803373772,47,-11.258239146627483,26,46.69995850324631,5.300041496753693,73,10.0,26,35.0,47
